#,Region,Community,Slug,Community Source #1 (StatCan),Community Source #2 (BC Stats),Community Source #3 (List of BC Local Govts),Community Source #4 (Municipal search),Community Source #5 (Destination BC),ECCC Station (mapped),ECCC Historical Data,ECCC Normals 1981-2010,ECCC Normals 1991-2020,ECCC Weather Alerts,Your Verified Municipal URL,Your Notes
1,Greater Vancouver,Anmore,anmore,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/search/search.cfm?Lang=E&SearchText=Anmore%20British%20Columbia,https://www2.gov.bc.ca/gov/content/data/statistics/people-population-community,https://www2.gov.bc.ca/gov/content/governments/local-governments/facts-framework/systems/list-of-bc-local-governments,https://www.google.com/search?q=Anmore+British+Columbia+official+municipal+website,https://www.hellobc.com/search/?query=Anmore,Vancouver Intl A,https://climate.weather.gc.ca/historical_data/search_historic_data_e.html?searchType=stnName&timeframe=1&txtStationName=Anmore&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1981_2010_e.html?searchType=stnName&txtStationName=Anmore&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1991_2020_e.html?searchType=stnName&txtStationName=Anmore&searchMethod=contains&province=BC&provBut=Search,https://weather.gc.ca/warnings/index_e.html?prov=bc,,
2,Greater Vancouver,Belcarra,belcarra,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/search/search.cfm?Lang=E&SearchText=Belcarra%20British%20Columbia,https://www2.gov.bc.ca/gov/content/data/statistics/people-population-community,https://www2.gov.bc.ca/gov/content/governments/local-governments/facts-framework/systems/list-of-bc-local-governments,https://www.google.com/search?q=Belcarra+British+Columbia+official+municipal+website,https://www.hellobc.com/search/?query=Belcarra,Vancouver Intl A,https://climate.weather.gc.ca/historical_data/search_historic_data_e.html?searchType=stnName&timeframe=1&txtStationName=Belcarra&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1981_2010_e.html?searchType=stnName&txtStationName=Belcarra&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1991_2020_e.html?searchType=stnName&txtStationName=Belcarra&searchMethod=contains&province=BC&provBut=Search,https://weather.gc.ca/warnings/index_e.html?prov=bc,,
3,Greater Vancouver,Bowen Island,bowen-island,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/search/search.cfm?Lang=E&SearchText=Bowen+Island%20British%20Columbia,https://www2.gov.bc.ca/gov/content/data/statistics/people-population-community,https://www2.gov.bc.ca/gov/content/governments/local-governments/facts-framework/systems/list-of-bc-local-governments,https://www.google.com/search?q=Bowen+Island+British+Columbia+official+municipal+website,https://www.hellobc.com/search/?query=Bowen+Island,Vancouver Intl A,https://climate.weather.gc.ca/historical_data/search_historic_data_e.html?searchType=stnName&timeframe=1&txtStationName=Bowen+Island&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1981_2010_e.html?searchType=stnName&txtStationName=Bowen+Island&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1991_2020_e.html?searchType=stnName&txtStationName=Bowen+Island&searchMethod=contains&province=BC&provBut=Search,https://weather.gc.ca/warnings/index_e.html?prov=bc,,
4,Greater Vancouver,Burnaby,burnaby,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/search/search.cfm?Lang=E&SearchText=Burnaby%20British%20Columbia,https://www2.gov.bc.ca/gov/content/data/statistics/people-population-community,https://www2.gov.bc.ca/gov/content/governments/local-governments/facts-framework/systems/list-of-bc-local-governments,https://www.google.com/search?q=Burnaby+British+Columbia+official+municipal+website,https://www.hellobc.com/search/?query=Burnaby,Vancouver Intl A,https://climate.weather.gc.ca/historical_data/search_historic_data_e.html?searchType=stnName&timeframe=1&txtStationName=Burnaby&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1981_2010_e.html?searchType=stnName&txtStationName=Burnaby&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1991_2020_e.html?searchType=stnName&txtStationName=Burnaby&searchMethod=contains&province=BC&provBut=Search,https://weather.gc.ca/warnings/index_e.html?prov=bc,,
5,Greater Vancouver,Coquitlam,coquitlam,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/search/search.cfm?Lang=E&SearchText=Coquitlam%20British%20Columbia,https://www2.gov.bc.ca/gov/content/data/statistics/people-population-community,https://www2.gov.bc.ca/gov/content/governments/local-governments/facts-framework/systems/list-of-bc-local-governments,https://www.google.com/search?q=Coquitlam+British+Columbia+official+municipal+website,https://www.hellobc.com/search/?query=Coquitlam,Vancouver Intl A,https://climate.weather.gc.ca/historical_data/search_historic_data_e.html?searchType=stnName&timeframe=1&txtStationName=Coquitlam&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1981_2010_e.html?searchType=stnName&txtStationName=Coquitlam&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1991_2020_e.html?searchType=stnName&txtStationName=Coquitlam&searchMethod=contains&province=BC&provBut=Search,https://weather.gc.ca/warnings/index_e.html?prov=bc,,
6,Greater Vancouver,Delta,delta,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/search/search.cfm?Lang=E&SearchText=Delta%20British%20Columbia,https://www2.gov.bc.ca/gov/content/data/statistics/people-population-community,https://www2.gov.bc.ca/gov/content/governments/local-governments/facts-framework/systems/list-of-bc-local-governments,https://www.google.com/search?q=Delta+British+Columbia+official+municipal+website,https://www.hellobc.com/search/?query=Delta,Vancouver Intl A,https://climate.weather.gc.ca/historical_data/search_historic_data_e.html?searchType=stnName&timeframe=1&txtStationName=Delta&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1981_2010_e.html?searchType=stnName&txtStationName=Delta&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1991_2020_e.html?searchType=stnName&txtStationName=Delta&searchMethod=contains&province=BC&provBut=Search,https://weather.gc.ca/warnings/index_e.html?prov=bc,,
7,Greater Vancouver,Langley City,langley-city,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/search/search.cfm?Lang=E&SearchText=Langley+City%20British%20Columbia,https://www2.gov.bc.ca/gov/content/data/statistics/people-population-community,https://www2.gov.bc.ca/gov/content/governments/local-governments/facts-framework/systems/list-of-bc-local-governments,https://www.google.com/search?q=Langley+City+British+Columbia+official+municipal+website,https://www.hellobc.com/search/?query=Langley+City,Vancouver Intl A,https://climate.weather.gc.ca/historical_data/search_historic_data_e.html?searchType=stnName&timeframe=1&txtStationName=Langley+City&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1981_2010_e.html?searchType=stnName&txtStationName=Langley+City&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1991_2020_e.html?searchType=stnName&txtStationName=Langley+City&searchMethod=contains&province=BC&provBut=Search,https://weather.gc.ca/warnings/index_e.html?prov=bc,,
8,Greater Vancouver,Langley Township,langley-township,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/search/search.cfm?Lang=E&SearchText=Langley+Township%20British%20Columbia,https://www2.gov.bc.ca/gov/content/data/statistics/people-population-community,https://www2.gov.bc.ca/gov/content/governments/local-governments/facts-framework/systems/list-of-bc-local-governments,https://www.google.com/search?q=Langley+Township+British+Columbia+official+municipal+website,https://www.hellobc.com/search/?query=Langley+Township,Vancouver Intl A,https://climate.weather.gc.ca/historical_data/search_historic_data_e.html?searchType=stnName&timeframe=1&txtStationName=Langley+Township&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1981_2010_e.html?searchType=stnName&txtStationName=Langley+Township&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1991_2020_e.html?searchType=stnName&txtStationName=Langley+Township&searchMethod=contains&province=BC&provBut=Search,https://weather.gc.ca/warnings/index_e.html?prov=bc,,
9,Greater Vancouver,Lions Bay,lions-bay,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/search/search.cfm?Lang=E&SearchText=Lions+Bay%20British%20Columbia,https://www2.gov.bc.ca/gov/content/data/statistics/people-population-community,https://www2.gov.bc.ca/gov/content/governments/local-governments/facts-framework/systems/list-of-bc-local-governments,https://www.google.com/search?q=Lions+Bay+British+Columbia+official+municipal+website,https://www.hellobc.com/search/?query=Lions+Bay,Vancouver Intl A,https://climate.weather.gc.ca/historical_data/search_historic_data_e.html?searchType=stnName&timeframe=1&txtStationName=Lions+Bay&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1981_2010_e.html?searchType=stnName&txtStationName=Lions+Bay&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1991_2020_e.html?searchType=stnName&txtStationName=Lions+Bay&searchMethod=contains&province=BC&provBut=Search,https://weather.gc.ca/warnings/index_e.html?prov=bc,,
10,Greater Vancouver,Maple Ridge,maple-ridge,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/search/search.cfm?Lang=E&SearchText=Maple+Ridge%20British%20Columbia,https://www2.gov.bc.ca/gov/content/data/statistics/people-population-community,https://www2.gov.bc.ca/gov/content/governments/local-governments/facts-framework/systems/list-of-bc-local-governments,https://www.google.com/search?q=Maple+Ridge+British+Columbia+official+municipal+website,https://www.hellobc.com/search/?query=Maple+Ridge,Vancouver Intl A,https://climate.weather.gc.ca/historical_data/search_historic_data_e.html?searchType=stnName&timeframe=1&txtStationName=Maple+Ridge&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1981_2010_e.html?searchType=stnName&txtStationName=Maple+Ridge&searchMethod=contains&province=BC&provBut=Search,https://climate.weather.gc.ca/climate_normals/results_1991_2020_e.html?searchType=stnName&txtStationName=Maple+Ridge&searchMethod=contains&province=BC&provBut=Search,https://weather.gc.ca/warnings/index_e.html?prov=bc,,
