#,Category,Term,Slug,Current Default Source(s),Your Verified Source URL,Your Notes
1,Construction,Asbestos Inspection,asbestos-inspection,"Building Act (SBC 2015, c. 2) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/15002_01 | BC Building Code — https://www2.gov.bc.ca/gov/content/industry/construction-industry/building-codes-standards/the-codes | Homeowner Protection Act (SBC 1998, c. 31) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/98031_01 | BC Housing — Licensing & Consumer Services — https://www.bchousing.org/licensing-consumer-services",,
2,Construction,Builders Lien,builders-lien,"Building Act (SBC 2015, c. 2) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/15002_01 | BC Building Code — https://www2.gov.bc.ca/gov/content/industry/construction-industry/building-codes-standards/the-codes | Homeowner Protection Act (SBC 1998, c. 31) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/98031_01 | BC Housing — Licensing & Consumer Services — https://www.bchousing.org/licensing-consumer-services",,
3,Construction,Foundation Issues,foundation-issues,"Building Act (SBC 2015, c. 2) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/15002_01 | BC Building Code — https://www2.gov.bc.ca/gov/content/industry/construction-industry/building-codes-standards/the-codes | Homeowner Protection Act (SBC 1998, c. 31) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/98031_01 | BC Housing — Licensing & Consumer Services — https://www.bchousing.org/licensing-consumer-services",,
4,Construction,Holdback (Builders Lien Act),holdback-builders-lien-act,"Building Act (SBC 2015, c. 2) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/15002_01 | BC Building Code — https://www2.gov.bc.ca/gov/content/industry/construction-industry/building-codes-standards/the-codes | Homeowner Protection Act (SBC 1998, c. 31) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/98031_01 | BC Housing — Licensing & Consumer Services — https://www.bchousing.org/licensing-consumer-services",,
5,Construction,Seller's Disclosure Statement (PDS),seller-s-disclosure-statement-pds,"Building Act (SBC 2015, c. 2) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/15002_01 | BC Building Code — https://www2.gov.bc.ca/gov/content/industry/construction-industry/building-codes-standards/the-codes | Homeowner Protection Act (SBC 1998, c. 31) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/98031_01 | BC Housing — Licensing & Consumer Services — https://www.bchousing.org/licensing-consumer-services",,
6,Construction,Substantial Completion,substantial-completion,"Building Act (SBC 2015, c. 2) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/15002_01 | BC Building Code — https://www2.gov.bc.ca/gov/content/industry/construction-industry/building-codes-standards/the-codes | Homeowner Protection Act (SBC 1998, c. 31) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/98031_01 | BC Housing — Licensing & Consumer Services — https://www.bchousing.org/licensing-consumer-services",,
7,Estate & Probate,As-Is Sale,as-is-sale,"Wills, Estates and Succession Act (SBC 2009, c. 13) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/09013_01 | BC Government — Wills, Estates and Probate — https://www2.gov.bc.ca/gov/content/life-events/death/wills-estates | Land Title Act (RSBC 1996, c. 250) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96250_00",,
8,Estate & Probate,Enduring POA,enduring-poa,"Wills, Estates and Succession Act (SBC 2009, c. 13) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/09013_01 | BC Government — Wills, Estates and Probate — https://www2.gov.bc.ca/gov/content/life-events/death/wills-estates | Land Title Act (RSBC 1996, c. 250) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96250_00",,
9,Estate & Probate,Estate Sale,estate-sale,"Wills, Estates and Succession Act (SBC 2009, c. 13) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/09013_01 | BC Government — Wills, Estates and Probate — https://www2.gov.bc.ca/gov/content/life-events/death/wills-estates | Land Title Act (RSBC 1996, c. 250) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96250_00",,
10,Estate & Probate,Executor,executor,"Wills, Estates and Succession Act (SBC 2009, c. 13) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/09013_01 | BC Government — Wills, Estates and Probate — https://www2.gov.bc.ca/gov/content/life-events/death/wills-estates | Land Title Act (RSBC 1996, c. 250) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96250_00",,
